district,crop_name,season,area_ha
Kalikot,Chickpea,Annual,36.0
Kalikot,Lentil,Annual,55.0
Kalikot,Maize,Annual,3550.0
Kalikot,Millet,Annual,1255.0
Kalikot,Paddy,Barkhe (Main),2515.0
Kalikot,Pigeon Pea,Annual,4.0
Kalikot,Potato,Annual,1260.0
Kalikot,Soybean,Annual,1350.0
Kalikot,Wheat,Annual,5596.0
Kanchanpur,Barley,Annual,9.0
Kanchanpur,Black Gram,Annual,196.0
Kanchanpur,Chickpea,Annual,5.0
Kanchanpur,Lentil,Annual,3250.0
Kanchanpur,Maize,Annual,2950.0
Kanchanpur,Paddy,Barkhe (Main),48496.0
Kanchanpur,Paddy,Chaite (Early),129.0
Kanchanpur,Pigeon Pea,Annual,8.0
Kanchanpur,Potato,Annual,1750.0
Kanchanpur,Soybean,Annual,80.0
Kanchanpur,Sugarcane,Annual,6340.0
Kanchanpur,Wheat,Annual,31115.0
Kapilvastu,Barley,Annual,140.0
Kapilvastu,Black Gram,Annual,590.0
Kapilvastu,Buckwheat,Annual,18.0
Kapilvastu,Chickpea,Annual,350.0
Kapilvastu,Lentil,Annual,5320.0
Kapilvastu,Maize,Annual,1390.0
Kapilvastu,Paddy,Barkhe (Main),65866.0
Kapilvastu,Paddy,Chaite (Early),10.0
Kapilvastu,Pigeon Pea,Annual,270.0
Kapilvastu,Potato,Annual,2595.0
Kapilvastu,Soybean,Annual,5.0
Kapilvastu,Sugarcane,Annual,2875.0
Kapilvastu,Wheat,Annual,31735.0
Kaski,Barley,Annual,5.0
Kaski,Black Gram,Annual,302.0
Kaski,Buckwheat,Annual,8.0
Kaski,Lentil,Annual,71.0
Kaski,Maize,Annual,12343.0
Kaski,Millet,Annual,10152.0
Kaski,Paddy,Barkhe (Main),16220.0
Kaski,Paddy,Chaite (Early),440.0
Kaski,Pigeon Pea,Annual,1.0
Kaski,Potato,Annual,1789.0
Kaski,Soybean,Annual,265.0
Kaski,Sugarcane,Annual,8.0
Kaski,Wheat,Annual,6010.0
Kathmandu,Black Gram,Annual,25.0
Kathmandu,Buckwheat,Annual,4.0
Kathmandu,Chickpea,Annual,22.0
Kathmandu,Lentil,Annual,21.0
Kathmandu,Maize,Annual,6315.0
Kathmandu,Millet,Annual,599.0
Kathmandu,Paddy,Barkhe (Main),5226.0
Kathmandu,Potato,Annual,916.0
Kathmandu,Soybean,Annual,242.0
Kathmandu,Wheat,Annual,2040.0
Kavrepalanchok,Barley,Annual,345.0
Kavrepalanchok,Black Gram,Annual,210.0
Kavrepalanchok,Buckwheat,Annual,510.0
Kavrepalanchok,Chickpea,Annual,35.0
Kavrepalanchok,Lentil,Annual,70.0
Kavrepalanchok,Maize,Annual,25448.0
Kavrepalanchok,Millet,Annual,3020.0
Kavrepalanchok,Paddy,Barkhe (Main),8590.0
Kavrepalanchok,Paddy,Chaite (Early),855.0
Kavrepalanchok,Potato,Annual,10100.0
Kavrepalanchok,Soybean,Annual,950.0
Kavrepalanchok,Wheat,Annual,8250.0
Khotang,Barley,Annual,23.3
Khotang,Black Gram,Annual,1246.0
Khotang,Buckwheat,Annual,69.0
Khotang,Lentil,Annual,20.0
Khotang,Maize,Annual,21814.0
Khotang,Millet,Annual,13332.0
Khotang,Paddy,Barkhe (Main),9417.0
Khotang,Paddy,Chaite (Early),1889.0
Khotang,Potato,Annual,2570.0
Khotang,Soybean,Annual,485.0
Khotang,Wheat,Annual,1494.0
Lalitpur,Barley,Annual,39.0
Lalitpur,Black Gram,Annual,84.0
Lalitpur,Chickpea,Annual,57.0
Lalitpur,Lentil,Annual,16.0
Lalitpur,Maize,Annual,9158.0
Lalitpur,Millet,Annual,518.0
Lalitpur,Paddy,Barkhe (Main),4163.0
Lalitpur,Potato,Annual,980.0
Lalitpur,Soybean,Annual,223.0
Lalitpur,Wheat,Annual,2497.0
Lamjung,Barley,Annual,9.0
Lamjung,Black Gram,Annual,185.0
Lamjung,Buckwheat,Annual,17.0
Lamjung,Chickpea,Annual,6.0
Lamjung,Lentil,Annual,20.0
Lamjung,Maize,Annual,15570.0
Lamjung,Millet,Annual,7200.0
Lamjung,Paddy,Barkhe (Main),11875.0
Lamjung,Paddy,Chaite (Early),805.0
Lamjung,Pigeon Pea,Annual,3.0
Lamjung,Potato,Annual,1975.0
Lamjung,Soybean,Annual,369.0
Lamjung,Sugarcane,Annual,5.0
Lamjung,Wheat,Annual,13.0
Mahottari,Barley,Annual,8.0
Mahottari,Black Gram,Annual,410.0
Mahottari,Chickpea,Annual,110.0
Mahottari,Lentil,Annual,4500.0
Mahottari,Maize,Annual,5000.0
Mahottari,Millet,Annual,350.0
Mahottari,Paddy,Barkhe (Main),40250.0
Mahottari,Paddy,Chaite (Early),451.0
Mahottari,Pigeon Pea,Annual,810.0
Mahottari,Potato,Annual,4000.0
Mahottari,Soybean,Annual,55.0
Mahottari,Sugarcane,Annual,6200.0
Mahottari,Wheat,Annual,29100.0
Makwanpur,Black Gram,Annual,355.0
Makwanpur,Buckwheat,Annual,1050.0
Makwanpur,Chickpea,Annual,26.0
Makwanpur,Lentil,Annual,247.0
Makwanpur,Maize,Annual,19069.0
Makwanpur,Millet,Annual,5550.0
Makwanpur,Paddy,Barkhe (Main),9638.0
Makwanpur,Paddy,Chaite (Early),2530.0
Makwanpur,Pigeon Pea,Annual,5.0
Makwanpur,Potato,Annual,2872.0
Makwanpur,Soybean,Annual,1353.0
Makwanpur,Sugarcane,Annual,6.0
Makwanpur,Wheat,Annual,1704.0
Manang,Barley,Annual,50.0
Manang,Buckwheat,Annual,296.0
Manang,Chickpea,Annual,2.0
Manang,Lentil,Annual,2.0
Manang,Maize,Annual,135.0
Manang,Millet,Annual,2.0
Manang,Potato,Annual,740.0
Manang,Soybean,Annual,8.0
Manang,Wheat,Annual,110.0
Morang,Black Gram,Annual,750.0
Morang,Buckwheat,Annual,55.0
Morang,Chickpea,Annual,245.0
Morang,Lentil,Annual,1216.0
Morang,Maize,Annual,20452.0
Morang,Millet,Annual,1320.0
Morang,Paddy,Barkhe (Main),69817.0
Morang,Paddy,Chaite (Early),17670.0
Morang,Pigeon Pea,Annual,340.0
Morang,Potato,Annual,6060.0
Morang,Soybean,Annual,409.0
Morang,Sugarcane,Annual,1833.0
Morang,Wheat,Annual,11960.0
Mugu,Barley,Annual,512.0
Mugu,Black Gram,Annual,22.0
Mugu,Buckwheat,Annual,608.0
Mugu,Maize,Annual,1222.0
Mugu,Millet,Annual,2125.0
Mugu,Paddy,Barkhe (Main),591.0
Mugu,Pigeon Pea,Annual,3.0
Mugu,Potato,Annual,715.0
Mugu,Soybean,Annual,37.0
Mugu,Wheat,Annual,1757.0
Mustang,Barley,Annual,44.0
Mustang,Buckwheat,Annual,130.0
Mustang,Maize,Annual,41.0
Mustang,Potato,Annual,461.0
Mustang,Wheat,Annual,115.0
Myagdi,Barley,Annual,250.0
Myagdi,Black Gram,Annual,80.0
Myagdi,Buckwheat,Annual,150.0
Myagdi,Lentil,Annual,8.0
Myagdi,Maize,Annual,9200.0
Myagdi,Millet,Annual,2450.0
Myagdi,Paddy,Barkhe (Main),3806.0
Myagdi,Pigeon Pea,Annual,20.0
Myagdi,Potato,Annual,1700.0
Myagdi,Soybean,Annual,540.0
Myagdi,Wheat,Annual,2310.0
Nawalparasi East,Barley,Annual,138.0
Nawalparasi East,Black Gram,Annual,149.0
Nawalparasi East,Buckwheat,Annual,93.0
Nawalparasi East,Chickpea,Annual,99.0
Nawalparasi East,Lentil,Annual,4144.0
Nawalparasi East,Maize,Annual,4562.0
Nawalparasi East,Millet,Annual,257.0
Nawalparasi East,Paddy,Barkhe (Main),18716.0
Nawalparasi East,Paddy,Chaite (Early),1210.0
Nawalparasi East,Pigeon Pea,Annual,218.0
Nawalparasi East,Potato,Annual,3205.0
Nawalparasi East,Soybean,Annual,92.0
Nawalparasi East,Sugarcane,Annual,235.0
Nawalparasi East,Wheat,Annual,7028.0
Nawalparasi West,Barley,Annual,9.0
Nawalparasi West,Black Gram,Annual,49.0
Nawalparasi West,Buckwheat,Annual,4.0
Nawalparasi West,Chickpea,Annual,81.0
Nawalparasi West,Lentil,Annual,3235.0
Nawalparasi West,Maize,Annual,3901.0
Nawalparasi West,Millet,Annual,38.0
Nawalparasi West,Paddy,Barkhe (Main),19885.0
Nawalparasi West,Paddy,Chaite (Early),5.0
Nawalparasi West,Pigeon Pea,Annual,195.0
Nawalparasi West,Potato,Annual,1702.0
Nawalparasi West,Soybean,Annual,41.0
Nawalparasi West,Sugarcane,Annual,3450.0
Nawalparasi West,Wheat,Annual,8595.0
Nuwakot,Barley,Annual,153.0
Nuwakot,Black Gram,Annual,179.0
Nuwakot,Buckwheat,Annual,219.0
