district,crop_name,avg_yield_mt_ha,avg_production_mt
Jhapa,Buckwheat,2.01,4.0
Jhapa,Chickpea,1.75,542.5
Jhapa,Lentil,1.18,6018.0
Jhapa,Maize,5.87,260335.0
Jhapa,Millet,1.29,1032.0
Jhapa,Paddy,5.14,238731.0
Jhapa,Pigeon Pea,1.5,390.0
Jhapa,Potato,16.37,258564.0
Jhapa,Soybean,0.91,46.0
Jhapa,Sugarcane,27.0,8100.0
Jhapa,Wheat,2.65,7950.0
Jumla,Barley,1.82,3515.0
Jumla,Buckwheat,1.03,98.0
Jumla,Lentil,1.35,23.0
Jumla,Maize,2.36,10500.0
Jumla,Millet,1.41,3875.0
Jumla,Paddy,2.0,5900.0
Jumla,Potato,15.35,34461.0
Jumla,Soybean,1.84,81.0
Jumla,Wheat,2.18,5408.0
Kailali,Barley,0.8,166.0
Kailali,Black Gram,0.9,342.0
Kailali,Buckwheat,1.01,20.0
Kailali,Chickpea,1.2,26.0
Kailali,Lentil,0.91,7740.0
Kailali,Maize,3.71,22460.0
Kailali,Millet,1.21,121.0
Kailali,Paddy,4.9,158252.0
Kailali,Pigeon Pea,1.6,99.0
Kailali,Potato,19.08,92824.0
Kailali,Soybean,1.21,131.0
Kailali,Sugarcane,45.08,10368.0
Kailali,Wheat,3.55,123682.0
Kalikot,Barley,1.77,975.0
Kalikot,Black Gram,0.81,17.0
Kalikot,Buckwheat,1.67,142.0
Kalikot,Chickpea,1.1,40.0
Kalikot,Lentil,0.98,54.0
Kalikot,Maize,2.27,8060.0
Kalikot,Millet,1.09,1365.0
Kalikot,Paddy,2.1,5282.0
Kalikot,Pigeon Pea,1.0,4.0
Kalikot,Potato,16.65,20979.0
Kalikot,Soybean,1.12,1512.0
Kalikot,Wheat,2.02,11313.0
Kanchanpur,Barley,0.76,7.0
Kanchanpur,Black Gram,0.95,186.0
Kanchanpur,Chickpea,1.35,7.0
Kanchanpur,Lentil,0.79,2568.0
Kanchanpur,Maize,4.02,11859.0
Kanchanpur,Paddy,4.1,92184.5
Kanchanpur,Pigeon Pea,1.0,11.0
Kanchanpur,Potato,19.5,34125.0
Kanchanpur,Soybean,1.24,99.0
Kanchanpur,Sugarcane,61.25,388325.0
Kanchanpur,Wheat,3.41,106102.0
Kapilvastu,Barley,1.54,216.0
Kapilvastu,Black Gram,0.97,570.0
Kapilvastu,Buckwheat,1.0,18.0
Kapilvastu,Chickpea,1.09,382.0
Kapilvastu,Lentil,0.96,5120.0
Kapilvastu,Maize,4.08,5675.0
Kapilvastu,Paddy,4.43,138342.0
Kapilvastu,Pigeon Pea,1.0,260.0
Kapilvastu,Potato,15.11,39210.0
Kapilvastu,Soybean,1.24,6.0
Kapilvastu,Sugarcane,46.9,134850.0
Kapilvastu,Wheat,3.5,111072.0
Kaski,Barley,1.2,5.0
Kaski,Black Gram,1.01,305.0
Kaski,Buckwheat,1.13,9.0
Kaski,Lentil,0.97,69.0
Kaski,Maize,2.93,36205.0
Kaski,Millet,1.5,15228.0
Kaski,Paddy,4.3,31792.0
Kaski,Pigeon Pea,1.0,1.0
Kaski,Potato,19.93,35644.0
Kaski,Soybean,1.31,348.0
Kaski,Sugarcane,13.6,102.0
Kaski,Wheat,2.45,14725.0
Kathmandu,Black Gram,0.95,24.0
Kathmandu,Buckwheat,1.03,4.0
Kathmandu,Chickpea,0.94,21.0
Kathmandu,Lentil,0.9,19.0
Kathmandu,Maize,4.01,25323.0
Kathmandu,Millet,1.05,629.0
Kathmandu,Paddy,4.7,24562.0
Kathmandu,Potato,19.94,18265.0
Kathmandu,Soybean,1.39,336.0
Kathmandu,Wheat,4.64,9466.0
Kavrepalanchok,Barley,0.98,338.0
Kavrepalanchok,Black Gram,0.9,189.0
Kavrepalanchok,Buckwheat,1.02,520.0
Kavrepalanchok,Chickpea,1.0,35.0
Kavrepalanchok,Lentil,1.2,84.0
Kavrepalanchok,Maize,3.62,92122.0
Kavrepalanchok,Millet,1.29,3896.0
Kavrepalanchok,Paddy,4.19,19362.0
Kavrepalanchok,Potato,20.7,209070.0
Kavrepalanchok,Soybean,1.4,1330.0
Kavrepalanchok,Wheat,2.9,23925.0
Khotang,Barley,1.34,31.28
Khotang,Black Gram,0.93,1156.0
Khotang,Buckwheat,1.06,73.0
Khotang,Lentil,1.3,26.0
Khotang,Maize,1.83,39919.0
Khotang,Millet,1.77,23598.0
Khotang,Paddy,3.39,14870.5
Khotang,Potato,9.0,23135.0
Khotang,Soybean,1.26,610.0
Khotang,Wheat,1.48,2212.0
Lalitpur,Barley,1.21,47.0
Lalitpur,Black Gram,0.82,69.0
Lalitpur,Chickpea,0.87,50.0
Lalitpur,Lentil,1.06,17.0
Lalitpur,Maize,4.02,36815.0
Lalitpur,Millet,1.05,544.0
Lalitpur,Paddy,4.62,19233.0
Lalitpur,Potato,19.94,19541.0
Lalitpur,Soybean,1.27,283.0
Lalitpur,Wheat,3.74,9339.0
Lamjung,Barley,1.56,14.0
Lamjung,Black Gram,0.83,153.0
Lamjung,Buckwheat,0.94,16.0
Lamjung,Chickpea,1.04,6.0
Lamjung,Lentil,0.7,14.0
Lamjung,Maize,2.16,33631.0
Lamjung,Millet,1.2,8640.0
Lamjung,Paddy,3.82,21336.5
Lamjung,Pigeon Pea,1.1,3.0
Lamjung,Potato,18.73,37000.0
Lamjung,Soybean,0.99,367.0
Lamjung,Sugarcane,6.0,30.0
Lamjung,Wheat,2.38,31.0
Mahottari,Barley,1.8,14.0
Mahottari,Black Gram,0.97,398.0
Mahottari,Chickpea,1.2,132.0
Mahottari,Lentil,1.1,4950.0
Mahottari,Maize,4.5,22500.0
Mahottari,Millet,1.0,385.0
Mahottari,Paddy,3.66,62741.0
Mahottari,Pigeon Pea,1.15,932.0
Mahottari,Potato,16.0,64000.0
Mahottari,Soybean,1.46,80.0
Mahottari,Sugarcane,55.0,341000.0
Mahottari,Wheat,3.37,97951.0
Makwanpur,Black Gram,1.14,405.0
Makwanpur,Buckwheat,1.3,1365.0
Makwanpur,Chickpea,1.12,29.0
Makwanpur,Lentil,1.34,331.0
Makwanpur,Maize,3.36,64072.0
Makwanpur,Millet,1.33,7382.0
Makwanpur,Paddy,3.95,23143.5
Makwanpur,Pigeon Pea,1.3,7.0
Makwanpur,Potato,20.2,58014.0
Makwanpur,Soybean,1.42,1921.0
Makwanpur,Sugarcane,32.0,192.0
Makwanpur,Wheat,2.92,4976.0
Manang,Barley,2.04,102.0
Manang,Buckwheat,1.0,295.0
Manang,Chickpea,1.0,2.0
Manang,Lentil,1.0,2.0
Manang,Maize,1.98,267.0
Manang,Millet,1.0,2.0
Manang,Potato,12.45,9215.0
Manang,Soybean,1.13,9.0
Manang,Wheat,2.1,231.0
Morang,Black Gram,0.75,562.5
Morang,Buckwheat,1.13,62.0
Morang,Chickpea,1.2,294.0
Morang,Lentil,1.42,1725.3
Morang,Maize,6.9,141119.0
Morang,Millet,1.24,1637.0
Morang,Paddy,5.2,217037.0
Morang,Pigeon Pea,1.0,340.0
Morang,Potato,15.0,90900.0
Morang,Soybean,1.72,703.0
Morang,Sugarcane,59.35,108789.0
Morang,Wheat,3.0,35880.0
Mugu,Barley,1.78,910.0
Mugu,Black Gram,1.0,22.0
Mugu,Buckwheat,1.07,653.0
Mugu,Maize,1.75,2139.0
Mugu,Millet,1.97,4196.0
Mugu,Paddy,1.7,1005.0
Mugu,Pigeon Pea,1.0,3.0
Mugu,Potato,15.75,11261.0
Mugu,Soybean,1.0,37.0
Mugu,Wheat,1.86,3272.0
Mustang,Barley,2.07,91.0
Mustang,Buckwheat,1.9,247.0
Mustang,Maize,1.48,61.0
Mustang,Potato,18.38,8476.0
Mustang,Wheat,3.73,430.0
Myagdi,Barley,1.44,360.0
Myagdi,Black Gram,1.05,84.0
Myagdi,Buckwheat,1.1,165.0
Myagdi,Lentil,0.88,7.0
Myagdi,Maize,3.1,28520.0
Myagdi,Millet,1.39,3400.0
Myagdi,Paddy,3.6,13702.0
Myagdi,Pigeon Pea,1.2,24.0
Myagdi,Potato,15.88,27000.0
Myagdi,Soybean,1.3,700.0
Myagdi,Wheat,2.31,5336.0
Nawalparasi East,Barley,1.25,172.0
Nawalparasi East,Black Gram,0.92,137.0
Nawalparasi East,Buckwheat,0.99,92.0
Nawalparasi East,Chickpea,1.2,119.0
Nawalparasi East,Lentil,1.2,4954.0
Nawalparasi East,Maize,2.98,13585.0
Nawalparasi East,Millet,1.19,305.0
Nawalparasi East,Paddy,4.61,41994.0
Nawalparasi East,Pigeon Pea,0.51,112.0
Nawalparasi East,Potato,18.23,58413.0
Nawalparasi East,Soybean,0.9,83.0
Nawalparasi East,Sugarcane,46.0,10810.0
Nawalparasi East,Wheat,2.88,20240.0
Nawalparasi West,Barley,1.19,10.7
Nawalparasi West,Black Gram,0.93,46.0
Nawalparasi West,Buckwheat,1.08,4.3
Nawalparasi West,Chickpea,1.1,89.0
Nawalparasi West,Lentil,0.99,3199.0
Nawalparasi West,Maize,4.0,15597.0
Nawalparasi West,Millet,1.04,40.0
Nawalparasi West,Paddy,4.63,45747.0
Nawalparasi West,Pigeon Pea,0.93,182.0
Nawalparasi West,Potato,14.8,25190.0
Nawalparasi West,Soybean,1.38,57.0
Nawalparasi West,Sugarcane,47.32,163254.0
Nawalparasi West,Wheat,3.17,27246.0
Nuwakot,Barley,1.26,193.0
Nuwakot,Black Gram,0.93,167.0
Nuwakot,Buckwheat,1.05,230.0
