district,crop_name,season,area_ha,production_mt,yield_mt_ha
Jumla,Lentil,Annual,17.0,23.0,1.35
Jumla,Maize,Annual,4450.0,10500.0,2.36
Jumla,Millet,Annual,2750.0,3875.0,1.41
Jumla,Paddy,Barkhe (Main),2950.0,5900.0,2.0
Jumla,Potato,Annual,2245.0,34461.0,15.35
Jumla,Soybean,Annual,44.0,81.0,1.84
Jumla,Wheat,Annual,2476.0,5408.0,2.18
Kailali,Barley,Annual,208.0,166.0,0.8
Kailali,Black Gram,Annual,380.0,342.0,0.9
Kailali,Buckwheat,Annual,20.0,20.0,1.01
Kailali,Chickpea,Annual,22.0,26.0,1.2
Kailali,Lentil,Annual,8505.0,7740.0,0.91
Kailali,Maize,Annual,6054.0,22460.0,3.71
Kailali,Millet,Annual,100.0,121.0,1.21
Kailali,Paddy,Barkhe (Main),67436.0,310784.0,4.61
Kailali,Paddy,Chaite (Early),1100.0,5720.0,5.2
Kailali,Pigeon Pea,Annual,62.0,99.0,1.6
Kailali,Potato,Annual,4865.0,92824.0,19.08
Kailali,Soybean,Annual,108.0,131.0,1.21
Kailali,Sugarcane,Annual,230.0,10368.0,45.08
Kailali,Wheat,Annual,34840.0,123682.0,3.55
Kalikot,Barley,Annual,551.0,975.0,1.77
Kalikot,Black Gram,Annual,21.0,17.0,0.81
Kalikot,Buckwheat,Annual,85.0,142.0,1.67
Kalikot,Chickpea,Annual,36.0,40.0,1.1
Kalikot,Lentil,Annual,55.0,54.0,0.98
Kalikot,Maize,Annual,3550.0,8060.0,2.27
Kalikot,Millet,Annual,1255.0,1365.0,1.09
Kalikot,Paddy,Barkhe (Main),2515.0,5282.0,2.1
Kalikot,Pigeon Pea,Annual,4.0,4.0,1.0
Kalikot,Potato,Annual,1260.0,20979.0,16.65
Kalikot,Soybean,Annual,1350.0,1512.0,1.12
Kalikot,Wheat,Annual,5596.0,11313.0,2.02
Kanchanpur,Barley,Annual,9.0,7.0,0.76
Kanchanpur,Black Gram,Annual,196.0,186.0,0.95
Kanchanpur,Chickpea,Annual,5.0,7.0,1.35
Kanchanpur,Lentil,Annual,3250.0,2568.0,0.79
Kanchanpur,Maize,Annual,2950.0,11859.0,4.02
Kanchanpur,Paddy,Barkhe (Main),48496.0,183800.0,3.79
Kanchanpur,Paddy,Chaite (Early),129.0,569.0,4.41
Kanchanpur,Pigeon Pea,Annual,8.0,11.0,1.0
Kanchanpur,Potato,Annual,1750.0,34125.0,19.5
Kanchanpur,Soybean,Annual,80.0,99.0,1.24
Kanchanpur,Sugarcane,Annual,6340.0,388325.0,61.25
Kanchanpur,Wheat,Annual,31115.0,106102.0,3.41
Kapilvastu,Barley,Annual,140.0,216.0,1.54
Kapilvastu,Black Gram,Annual,590.0,570.0,0.97
Kapilvastu,Buckwheat,Annual,18.0,18.0,1.0
Kapilvastu,Chickpea,Annual,350.0,382.0,1.09
Kapilvastu,Lentil,Annual,5320.0,5120.0,0.96
Kapilvastu,Maize,Annual,1390.0,5675.0,4.08
Kapilvastu,Paddy,Barkhe (Main),65866.0,276637.0,4.2
Kapilvastu,Paddy,Chaite (Early),10.0,47.0,4.65
Kapilvastu,Pigeon Pea,Annual,270.0,260.0,1.0
Kapilvastu,Potato,Annual,2595.0,39210.0,15.11
Kapilvastu,Soybean,Annual,5.0,6.0,1.24
Kapilvastu,Sugarcane,Annual,2875.0,134850.0,46.9
Kapilvastu,Wheat,Annual,31735.0,111072.0,3.5
Kaski,Barley,Annual,5.0,5.0,1.2
Kaski,Black Gram,Annual,302.0,305.0,1.01
Kaski,Buckwheat,Annual,8.0,9.0,1.13
Kaski,Lentil,Annual,71.0,69.0,0.97
Kaski,Maize,Annual,12343.0,36205.0,2.93
Kaski,Millet,Annual,10152.0,15228.0,1.5
Kaski,Paddy,Barkhe (Main),16220.0,61474.0,3.79
Kaski,Paddy,Chaite (Early),440.0,2110.0,4.8
Kaski,Pigeon Pea,Annual,1.0,1.0,1.0
Kaski,Potato,Annual,1789.0,35644.0,19.93
Kaski,Soybean,Annual,265.0,348.0,1.31
Kaski,Sugarcane,Annual,8.0,102.0,13.6
Kaski,Wheat,Annual,6010.0,14725.0,2.45
Kathmandu,Black Gram,Annual,25.0,24.0,0.95
Kathmandu,Buckwheat,Annual,4.0,4.0,1.03
Kathmandu,Chickpea,Annual,22.0,21.0,0.94
Kathmandu,Lentil,Annual,21.0,19.0,0.9
Kathmandu,Maize,Annual,6315.0,25323.0,4.01
Kathmandu,Millet,Annual,599.0,629.0,1.05
Kathmandu,Paddy,Barkhe (Main),5226.0,24562.0,4.7
Kathmandu,Potato,Annual,916.0,18265.0,19.94
Kathmandu,Soybean,Annual,242.0,336.0,1.39
Kathmandu,Wheat,Annual,2040.0,9466.0,4.64
Kavrepalanchok,Barley,Annual,345.0,338.0,0.98
Kavrepalanchok,Black Gram,Annual,210.0,189.0,0.9
Kavrepalanchok,Buckwheat,Annual,510.0,520.0,1.02
Kavrepalanchok,Chickpea,Annual,35.0,35.0,1.0
Kavrepalanchok,Lentil,Annual,70.0,84.0,1.2
Kavrepalanchok,Maize,Annual,25448.0,92122.0,3.62
Kavrepalanchok,Millet,Annual,3020.0,3896.0,1.29
Kavrepalanchok,Paddy,Barkhe (Main),8590.0,35047.0,4.08
Kavrepalanchok,Paddy,Chaite (Early),855.0,3677.0,4.3
Kavrepalanchok,Potato,Annual,10100.0,209070.0,20.7
Kavrepalanchok,Soybean,Annual,950.0,1330.0,1.4
Kavrepalanchok,Wheat,Annual,8250.0,23925.0,2.9
Khotang,Barley,Annual,23.3,31.28,1.34
Khotang,Black Gram,Annual,1246.0,1156.0,0.93
Khotang,Buckwheat,Annual,69.0,73.0,1.06
Khotang,Lentil,Annual,20.0,26.0,1.3
Khotang,Maize,Annual,21814.0,39919.0,1.83
Khotang,Millet,Annual,13332.0,23598.0,1.77
Khotang,Paddy,Barkhe (Main),9417.0,21188.0,2.25
Khotang,Paddy,Chaite (Early),1889.0,8553.0,4.53
Khotang,Potato,Annual,2570.0,23135.0,9.0
Khotang,Soybean,Annual,485.0,610.0,1.26
Khotang,Wheat,Annual,1494.0,2212.0,1.48
Lalitpur,Barley,Annual,39.0,47.0,1.21
Lalitpur,Black Gram,Annual,84.0,69.0,0.82
Lalitpur,Chickpea,Annual,57.0,50.0,0.87
Lalitpur,Lentil,Annual,16.0,17.0,1.06
Lalitpur,Maize,Annual,9158.0,36815.0,4.02
Lalitpur,Millet,Annual,518.0,544.0,1.05
Lalitpur,Paddy,Barkhe (Main),4163.0,19233.0,4.62
Lalitpur,Potato,Annual,980.0,19541.0,19.94
Lalitpur,Soybean,Annual,223.0,283.0,1.27
Lalitpur,Wheat,Annual,2497.0,9339.0,3.74
Lamjung,Barley,Annual,9.0,14.0,1.56
Lamjung,Black Gram,Annual,185.0,153.0,0.83
Lamjung,Buckwheat,Annual,17.0,16.0,0.94
Lamjung,Chickpea,Annual,6.0,6.0,1.04
Lamjung,Lentil,Annual,20.0,14.0,0.7
Lamjung,Maize,Annual,15570.0,33631.0,2.16
Lamjung,Millet,Annual,7200.0,8640.0,1.2
Lamjung,Paddy,Barkhe (Main),11875.0,39187.0,3.3
Lamjung,Paddy,Chaite (Early),805.0,3486.0,4.33
Lamjung,Pigeon Pea,Annual,3.0,3.0,1.1
Lamjung,Potato,Annual,1975.0,37000.0,18.73
Lamjung,Soybean,Annual,369.0,367.0,0.99
Lamjung,Sugarcane,Annual,5.0,30.0,6.0
Lamjung,Wheat,Annual,13.0,31.0,2.38
Mahottari,Barley,Annual,8.0,14.0,1.8
Mahottari,Black Gram,Annual,410.0,398.0,0.97
